TargetWord,God,Fin,Hyggelig,Glimrende,Positiv,Heldig,Riktig,Dårlig,Ond,Ekkel,Negativ,Uheldig,Galt,Mindreverdig,Completed
hjørnet,0.90436,1.67962,0.95404,3.21628,-0.87110,2.00139,0.22553,0.25546,-0.45313,1.47263,-0.57099,0.99623,-0.32563,0.00000,OK
analyse,0.09983,0.03976,-0.38517,-0.60237,1.72281,-0.84860,0.73724,0.39410,1.07519,-2.45850,2.36526,0.09242,0.50438,3.63264,OK
oppførsel,0.67884,-0.66719,0.45759,-0.22323,0.24690,0.12428,0.43725,1.73246,1.18810,1.37688,1.23929,1.56934,1.07738,0.97616,OK
alternativer,0.76298,0.37750,0.77688,-0.08567,0.65747,0.10552,1.00542,0.52787,0.45440,-0.94179,0.19747,0.87217,-0.08399,-0.02058,OK
lyset,0.09729,0.32580,0.34538,-0.15452,-0.07118,-0.06214,0.69933,0.35973,0.12920,-0.20809,-0.13923,-0.17175,0.58983,0.97616,OK
bøkene,0.40107,0.34522,0.89575,0.69560,-0.23936,0.45313,0.54085,0.18345,2.69508,2.03587,-0.00421,-0.33661,0.38792,3.25253,OK
smalt,0.03440,0.58934,-0.20449,1.43567,-1.58906,1.84427,-0.40068,2.28666,-0.88779,0.77494,-1.04518,0.90116,1.19533,0.00000,OK
lyngen,-1.56846,-0.98849,-0.24101,0.27747,-1.36776,-0.50245,-1.12237,-1.05699,0.00000,2.25023,-1.36542,-0.66097,-2.98474,0.00000,OK
offisielt,-0.57066,-0.42741,0.35021,-0.59701,0.23068,-1.23591,-0.02567,-0.41281,-0.66464,0.00000,0.54055,-0.36307,-0.51325,0.00000,OK
brent,-0.36917,0.89072,-1.50269,-0.92634,-0.61581,0.03201,-0.80670,-0.26927,-0.21636,0.53947,-0.01317,-0.87400,0.06689,1.04564,OK
photo,-0.70899,-0.61337,-0.93138,-0.35503,-0.35804,-0.10941,-0.65448,-0.58096,-2.03737,-1.11162,-0.90526,-1.07528,-0.36930,0.00000,OK
